user_id,condition,fit_type,n_trials,test_acc,test_ll,spearman,combined
0,choice_only,random_projection,3,0.3333333333333333,-0.708867217263425,0.2262778643423326,-0.1868610678288337
0,choice_only,projection_only,3,0.3333333333333333,-1.1438158129107634,0.45902081052301746,0.12951040526150875
0,choice_only,projection_alpha,3,0.3333333333333333,-1.1438158129107634,0.45902081052301746,0.12951040526150875
0,choice_only,random_projection,4,0.0,-0.7079987540086398,0.2392080280190373,-0.08039598599048137
0,choice_only,projection_only,4,0.0,-1.7297030947854397,-0.019395245515057075,-0.20969762275752854
0,choice_only,projection_alpha,4,0.0,-1.7297030947854397,-0.019395245515057075,-0.20969762275752854
0,choice_only,random_projection,5,0.2,-0.6988628755443728,0.252138191695742,-0.07393090415212902
0,choice_only,projection_only,5,0.0,-1.7883475897514987,0.42023031949290335,0.1101151597464517
0,choice_only,projection_alpha,5,0.0,-1.7883475897514987,0.42023031949290335,0.1101151597464517
0,choice_only,random_projection,6,0.16666666666666666,-0.7087481066830291,0.35557950110937975,-0.022210249445310137
0,choice_only,projection_only,6,0.16666666666666666,-1.6552819662986105,-0.2650683553724467,-0.4325341776862234
0,choice_only,projection_alpha,6,0.16666666666666666,-1.6552819662986105,-0.2650683553724467,-0.4325341776862234
0,choice_only,random_projection,7,0.2857142857142857,-0.7075354865824319,0.32971917375597026,0.06485958687798515
0,choice_only,projection_only,7,0.2857142857142857,-1.5032269065177408,-0.20041753698892312,-0.30020876849446154
0,choice_only,projection_alpha,7,0.2857142857142857,-1.5032269065177408,-0.20041753698892312,-0.30020876849446154
0,choice_only,random_projection,8,0.5,-0.6941377776520569,-0.12283655492869483,-0.1614182774643474
0,choice_only,projection_only,8,0.375,-1.3246584775380936,-0.03232540919176179,-0.2161627045958809
0,choice_only,projection_alpha,8,0.375,-1.3246584775380936,-0.03232540919176179,-0.2161627045958809
0,choice_only,random_projection,9,0.5555555555555556,-0.6915670001181087,0.14869688228210426,-0.025651558858947848
0,choice_only,projection_only,9,0.4444444444444444,-1.0848967190451082,0.03232540919176179,-0.1838372954041191
0,choice_only,projection_alpha,9,0.4444444444444444,-1.0848967190451082,0.03232540919176179,-0.1838372954041191
0,choice_only,random_projection,10,0.5,-0.6836960358825589,0.42023031949290335,0.1101151597464517
0,choice_only,projection_only,10,0.5,-1.0772961434378823,-0.006465081838352358,-0.2032325409191762
0,choice_only,projection_alpha,10,0.5,-1.0772961434378823,-0.006465081838352358,-0.2032325409191762
0,choice_only,random_projection,11,0.5454545454545454,-0.6978464627534691,0.35557950110937975,0.0777897505546899
0,choice_only,projection_only,11,0.5454545454545454,-0.9582225054558081,-0.006465081838352358,-0.2032325409191762
0,choice_only,projection_alpha,11,0.5454545454545454,-0.9582225054558081,-0.006465081838352358,-0.2032325409191762
0,choice_only,random_projection,12,0.5833333333333334,-0.683354873968855,0.35557950110937975,0.0777897505546899
0,choice_only,projection_only,12,0.6666666666666666,-0.8581359999255539,-0.006465081838352358,-0.3032325409191762
0,choice_only,projection_alpha,12,0.6666666666666666,-0.8581359999255539,-0.006465081838352358,-0.3032325409191762
0,choice_only,random_projection,13,0.5384615384615384,-0.6856128044603894,0.3167890100792656,0.05839450503963281
0,choice_only,projection_only,13,0.5384615384615384,-1.0664139785958542,0.16162704595880897,-0.11918647702059552
0,choice_only,projection_alpha,13,0.5384615384615384,-1.0664139785958542,0.16162704595880897,-0.11918647702059552
0,choice_only,random_projection,14,0.5714285714285714,-0.6636467320931445,0.3167890100792656,-0.04160549496036722
0,choice_only,projection_only,14,0.5,-1.0705016244354253,0.21334770066562786,0.006673850332813952
0,choice_only,projection_alpha,14,0.5,-1.0705016244354253,0.21334770066562786,0.006673850332813952
0,choice_only,random_projection,15,0.6,-0.6368794589689803,0.3943699921394939,-0.0028150039302530516
0,choice_only,projection_only,15,0.6666666666666666,-0.9872666933454048,0.21334770066562786,0.006673850332813952
0,choice_only,projection_alpha,15,0.6666666666666666,-0.9872666933454048,0.21334770066562786,0.006673850332813952
0,choice_only,random_projection,16,0.625,-0.6351196284081138,0.3167890100792656,-0.04160549496036722
0,choice_only,projection_only,16,0.6875,-0.9137789289100284,0.21334770066562786,0.006673850332813952
0,choice_only,projection_alpha,16,0.6875,-0.9137789289100284,0.21334770066562786,0.006673850332813952
0,choice_only,random_projection,17,0.7058823529411765,-0.6417753378531652,0.35557950110937975,-0.022210249445310137
0,choice_only,projection_only,17,0.7058823529411765,-0.8341139737395337,0.21334770066562786,0.006673850332813952
0,choice_only,projection_alpha,17,0.7058823529411765,-0.8341139737395337,0.21334770066562786,0.006673850332813952
0,choice_only,random_projection,18,0.7222222222222222,-0.6414331933700257,0.35557950110937975,0.0777897505546899
